[ 2016-03-17T10:03:11+08:00 ] /puji/Public/images/advert/m_5236d4e8d0d30.jpg | SQL: SELECT * FROM `y_account` WHERE ( `url` LIKE '%,localhost,%' ) AND ( `is_publish` = 1 ) LIMIT 1  [ RunTime:0.000000s ]
[ 2016-03-17T10:03:11+08:00 ] /puji/Public/images/advert/m_5236d4e8d0d30.jpg | SQL: SHOW COLUMNS FROM `y_category` [ RunTime:0.002000s ]
[ 2016-03-17T10:03:11+08:00 ] /puji/Public/images/advert/m_5236d4e8d0d30.jpg | SQL: SELECT * FROM `y_category` WHERE ( `is_publish` = '1' ) AND ( `is_nav` = 1 ) AND ( `hardware` NOT IN ('mobile') ) ORDER BY orderNum desc [ RunTime:0.001000s ]
[ 2016-03-17T10:03:11+08:00 ] /puji/Public/images/advert/m_5236d4e8d0d30.jpg | NOTIC: [8] Undefined variable: part3 HomeAction.class.php 第 195 行.
[ 2016-03-17T10:03:11+08:00 ] /puji/Public/images/advert/m_5236d4e8d0d30.jpg | SQL: SELECT * FROM `y_category` WHERE ( `alias` = 'pc' ) AND ( `is_publish` = 1 ) LIMIT 1  [ RunTime:0.000000s ]
[ 2016-03-17T10:03:11+08:00 ] /puji/Public/images/advert/m_5236d4e8d0d30.jpg | SQL: SELECT * FROM `y_category` WHERE ( `pid` = '3' ) AND ( `hardware` = 'pc' ) AND ( `is_publish` = 1 ) [ RunTime:0.001000s ]
[ 2016-03-17T10:03:11+08:00 ] /puji/Public/images/advert/m_5236d4e8d0d30.jpg | SQL: SHOW COLUMNS FROM `y_common` [ RunTime:0.002000s ]
[ 2016-03-17T10:03:11+08:00 ] /puji/Public/images/advert/m_5236d4e8d0d30.jpg | SQL: SELECT * FROM `y_common` LIMIT 1  [ RunTime:0.000000s ]
[ 2016-03-17T10:03:11+08:00 ] /puji/Public/images/advert/m_5236d4e8d0d30.jpg | SQL: SHOW COLUMNS FROM `y_system` [ RunTime:0.003000s ]
[ 2016-03-17T10:03:11+08:00 ] /puji/Public/images/advert/m_5236d4e8d0d30.jpg | NOTIC: [8] Undefined variable: commonInfo HomeAction.class.php 第 38 行.
[ 2016-03-17T10:03:11+08:00 ] /puji/Public/images/advert/m_5236d4e8d0d30.jpg | NOTIC: [8] Undefined index: url HomeAction.class.php 第 43 行.
[ 2016-03-17T10:03:11+08:00 ] /puji/Public/images/advert/m_5236d4e8d0d30.jpg | NOTIC: [2] Missing argument 2 for HomeAction::assignSystem(), called in F:\WWW\puji\App\Lib\Action\HomeAction.class.php on line 47 and defined HomeAction.class.php 第 94 行.
[ 2016-03-17T10:03:11+08:00 ] /puji/Public/images/advert/m_5236d4e8d0d30.jpg | SQL: SELECT * FROM `y_system` WHERE ( `lang` = 'zh-cn' ) AND ( `hardware` = 'pc' ) LIMIT 1  [ RunTime:0.001000s ]
[ 2016-03-17T10:03:11+08:00 ] /puji/Public/images/advert/m_5236d4e8d0d30.jpg | SQL: SELECT * FROM `y_account` WHERE ( `url` LIKE '%,localhost,%' ) AND ( `is_publish` = 1 ) LIMIT 1  [ RunTime:0.002000s ]
[ 2016-03-17T10:03:11+08:00 ] /puji/Public/images/advert/m_5236d4e8d0d30.jpg | SQL: SELECT * FROM `y_category` WHERE ( `is_publish` = '1' ) AND ( `is_nav` = 1 ) AND ( `hardware` NOT IN ('mobile') ) ORDER BY orderNum desc [ RunTime:0.001000s ]
[ 2016-03-17T10:03:11+08:00 ] /puji/Public/images/advert/m_5236d4e8d0d30.jpg | NOTIC: [8] Undefined variable: part3 HomeAction.class.php 第 195 行.
[ 2016-03-17T10:03:11+08:00 ] /puji/Public/images/advert/m_5236d4e8d0d30.jpg | SQL: SELECT * FROM `y_category` WHERE ( `alias` = 'pc' ) AND ( `is_publish` = 1 ) LIMIT 1  [ RunTime:0.001001s ]
[ 2016-03-17T10:03:11+08:00 ] /puji/Public/images/advert/m_5236d4e8d0d30.jpg | SQL: SELECT * FROM `y_category` WHERE ( `pid` = '3' ) AND ( `hardware` = 'pc' ) AND ( `is_publish` = 1 ) [ RunTime:0.000000s ]
[ 2016-03-17T10:03:11+08:00 ] /puji/Public/images/advert/m_5236d4e8d0d30.jpg | SQL: SELECT * FROM `y_common` LIMIT 1  [ RunTime:0.001000s ]
[ 2016-03-17T10:03:11+08:00 ] /puji/Public/images/advert/m_5236d4e8d0d30.jpg | NOTIC: [8] Undefined variable: commonInfo HomeAction.class.php 第 38 行.
[ 2016-03-17T10:03:11+08:00 ] /puji/Public/images/advert/m_5236d4e8d0d30.jpg | NOTIC: [8] Undefined index: url HomeAction.class.php 第 43 行.
[ 2016-03-17T10:03:11+08:00 ] /puji/Public/images/advert/m_5236d4e8d0d30.jpg | NOTIC: [2] Missing argument 2 for HomeAction::assignSystem(), called in F:\WWW\puji\App\Lib\Action\HomeAction.class.php on line 47 and defined HomeAction.class.php 第 94 行.
[ 2016-03-17T10:03:11+08:00 ] /puji/Public/images/advert/m_5236d4e8d0d30.jpg | SQL: SELECT * FROM `y_system` WHERE ( `lang` = 'zh-cn' ) AND ( `hardware` = 'pc' ) LIMIT 1  [ RunTime:0.000000s ]
[ 2016-03-17T10:03:16+08:00 ] /puji/About | SQL: SHOW COLUMNS FROM `y_account` [ RunTime:0.002000s ]
[ 2016-03-17T10:03:16+08:00 ] /puji/About | SQL: SELECT * FROM `y_account` WHERE ( `url` LIKE '%,localhost,%' ) AND ( `is_publish` = 1 ) LIMIT 1  [ RunTime:0.000000s ]
[ 2016-03-17T10:03:16+08:00 ] /puji/About | SQL: SHOW COLUMNS FROM `y_category` [ RunTime:0.003001s ]
[ 2016-03-17T10:03:16+08:00 ] /puji/About | SQL: SELECT * FROM `y_category` WHERE ( `is_publish` = '1' ) AND ( `is_nav` = 1 ) AND ( `hardware` NOT IN ('mobile') ) ORDER BY orderNum desc [ RunTime:0.001000s ]
[ 2016-03-17T10:03:16+08:00 ] /puji/About | NOTIC: [8] Undefined variable: part3 HomeAction.class.php 第 195 行.
[ 2016-03-17T10:03:16+08:00 ] /puji/About | SQL: SELECT * FROM `y_category` WHERE ( `alias` = 'pc' ) AND ( `is_publish` = 1 ) LIMIT 1  [ RunTime:0.001000s ]
[ 2016-03-17T10:03:16+08:00 ] /puji/About | SQL: SELECT * FROM `y_category` WHERE ( `pid` = '3' ) AND ( `hardware` = 'pc' ) AND ( `is_publish` = 1 ) [ RunTime:0.000000s ]
[ 2016-03-17T10:03:16+08:00 ] /puji/About | SQL: SHOW COLUMNS FROM `y_common` [ RunTime:0.003000s ]
[ 2016-03-17T10:03:16+08:00 ] /puji/About | SQL: SELECT * FROM `y_common` LIMIT 1  [ RunTime:0.000000s ]
[ 2016-03-17T10:03:16+08:00 ] /puji/About | SQL: SHOW COLUMNS FROM `y_system` [ RunTime:0.003000s ]
[ 2016-03-17T10:03:16+08:00 ] /puji/About | NOTIC: [8] Undefined variable: commonInfo HomeAction.class.php 第 38 行.
[ 2016-03-17T10:03:16+08:00 ] /puji/About | NOTIC: [8] Undefined index: url HomeAction.class.php 第 43 行.
[ 2016-03-17T10:03:16+08:00 ] /puji/About | NOTIC: [2] Missing argument 2 for HomeAction::assignSystem(), called in F:\WWW\puji\App\Lib\Action\HomeAction.class.php on line 47 and defined HomeAction.class.php 第 94 行.
[ 2016-03-17T10:03:16+08:00 ] /puji/About | SQL: SELECT * FROM `y_system` WHERE ( `lang` = 'zh-cn' ) AND ( `hardware` = 'pc' ) LIMIT 1  [ RunTime:0.001000s ]
[ 2016-03-17T10:03:16+08:00 ] /puji/About | SQL: SHOW COLUMNS FROM `y_category` [ RunTime:0.004000s ]
[ 2016-03-17T10:03:16+08:00 ] /puji/About | NOTIC: [8] Undefined index: cid CategoryWidget.class.php 第 9 行.
[ 2016-03-17T10:03:16+08:00 ] /puji/About | SQL: SELECT * FROM `y_category` WHERE ( `alias` = 'About' ) LIMIT 1  [ RunTime:0.000000s ]
[ 2016-03-17T10:03:16+08:00 ] /puji/About | SQL: SELECT * FROM `y_category` WHERE ( `pid` = '36' ) AND ( `is_publish` = 1 ) ORDER BY ordernum desc LIMIT 0,1  [ RunTime:0.001000s ]
[ 2016-03-17T10:03:16+08:00 ] /puji/About | SQL: SELECT * FROM `y_category` WHERE ( `pid` = '36' ) AND ( `is_publish` = 1 ) AND ( `hardware` = 'pc' ) AND ( `lang` = 'zh-cn' ) ORDER BY ordernum desc [ RunTime:0.000000s ]
[ 2016-03-17T10:03:16+08:00 ] /puji/About | SQL: SELECT * FROM `y_category` WHERE ( `id` IN ('12','36','1528') ) ORDER BY id asc [ RunTime:0.000000s ]
[ 2016-03-17T10:03:16+08:00 ] /puji/About | NOTIC: [8] Undefined index: cid 2a15d8ebe285d06a458da85105d74637.php 第 11 行.
[ 2016-03-17T10:03:16+08:00 ] /puji/About | NOTIC: [8] Undefined index: cid 2a15d8ebe285d06a458da85105d74637.php 第 11 行.
[ 2016-03-17T10:03:16+08:00 ] /puji/About | SQL: SHOW COLUMNS FROM `y_news` [ RunTime:0.003000s ]
[ 2016-03-17T10:03:16+08:00 ] /puji/About | NOTIC: [8] Undefined index: id OneWidget.class.php 第 9 行.
[ 2016-03-17T10:03:16+08:00 ] /puji/About | NOTIC: [8] Undefined index: cid OneWidget.class.php 第 10 行.
[ 2016-03-17T10:03:16+08:00 ] /puji/About | SQL: SELECT * FROM `y_category` WHERE ( `alias` = 'About' ) LIMIT 1  [ RunTime:0.001000s ]
